mission_name,Rocket Type,Reusability,Payload Mass (kg),Payload Type,Orbit,Country,Launch Success,launch_date,launch_year
starlink-2,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-01-07 02:19:00+00:00,2020
crew dragon in flight abort test,Falcon 9,False,7834.885403726708,Crew Dragon,SO,Florida,1.0,2020-01-19 14:00:00+00:00,2020
starlink-3,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-01-29 14:06:00+00:00,2020
starlink-4,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-02-17 15:05:55+00:00,2020
crs-20,Falcon 9,True,1977.0,Dragon 1.1,ISS,Florida,1.0,2020-03-07 04:50:31+00:00,2020
starlink-5,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-03-18 12:16:00+00:00,2020
starlink-6,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-04-22 19:30:00+00:00,2020
cctcap demo mission 2,Falcon 9,False,9525.0,Crew Dragon,ISS,Florida,1.0,2020-05-30 19:22:00+00:00,2020
starlink-7,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-06-04 01:25:00+00:00,2020
starlink-8 & skysat 16-18,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-06-13 09:21:00+00:00,2020
gps iii sv03 (columbus),Falcon 9,False,3880.0,Satellite,MEO,Florida,1.0,2020-06-30 19:55:00+00:00,2020
anasis-ii,Falcon 9,False,7834.885403726708,Satellite,GEO,Florida,1.0,2020-07-20 21:30:00+00:00,2020
starlink-9 (v1.0) & blacksky global 5-6,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-08-07 05:12:00+00:00,2020
starlink-10 (v1.0) & skysat 19-21,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-08-18 14:31:00+00:00,2020
"saocom 1b, gnomes-1, tyvak-0172",Falcon 9,False,1600.0,Satellite,SSO,Florida,1.0,2020-08-30 23:18:00+00:00,2020
starlink-11 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-09-03 12:46:00+00:00,2020
starlink-12 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-10-06 11:29:00+00:00,2020
starlink-13 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-10-18 12:25:00+00:00,2020
starlink-14 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-10-24 15:31:00+00:00,2020
gps iii sv04 (sacagawea),Falcon 9,False,3681.0,Satellite,MEO,Florida,1.0,2020-11-05 23:24:00+00:00,2020
crew-1,Falcon 9,False,7834.885403726708,Crew Dragon,ISS,Florida,1.0,2020-11-16 00:27:00+00:00,2020
sentinel-6 michael freilich,Falcon 9,False,1440.0,Satellite,PO,California,1.0,2020-11-21 17:17:00+00:00,2020
starlink-15 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2020-11-25 02:13:00+00:00,2020
crs-21,Falcon 9,False,2972.0,Dragon 2.0,ISS,Florida,1.0,2020-12-06 16:17:00+00:00,2020
